369.139.16.1;Geberit HDPE Y 45' 160x125mm;1,;405,00
369.145.16.1;Geberit HDPE Y 45' 160x160mm;2,;405,00
369.586.16.1;Geberit HDPE ecc. reducer, short, dia. 160 x 110mm;6,;88,50
369.588.16.1;Geberit HDPE ecc. reducer, short, dia. 160 x 125mm;2,;92,20
386411;Resid pipe ring 59-66;8,;12,75
4045PJ;SV 40mm - 45' Plain junction Pvc;14,;16,65
4050SFR;SV 40X50 - St Fitting Reducer Pvc;33,;4,24
4090PJ;SV 40mm - 90' Plain Junction Pvc;17,;7,37
40HB;SV 40mm - Holderbat PVC N/S;30,;8,35
40SE;SV 40mm - Stop End PVC/NS;1,;4,11
5045PB;SV 50mm 45' Plain Bend PVC;8,;6,07
5045PJ;SV 50mm 45' Plain Junction PVC;9,;16,04
5090IB;Sv 50mm - 90' Inspectiion Bend Pvc;4,;4,73
5090PB;sv 50mm 90' Plain bend pvc;14,;4,38
5090PJ;SV 50mm - 90' Plain Junction PVC;35,;7,27
50HB;Sv 50mm - Holderbat Pvc N/S;20,;9,01
50SC;SV 50mm - Str Coupler PVC/NS;23,;6,11
50SE;Sv 50mm - Stop End Pvc;16,;6,43
510025;25mm Plasson coupling;16,;24,69
510032;32mm Plasson Coupling;1,;31,15
510050;50mm Plason Coupling;2,;70,67
511025X025;25x25mm Plasson male adaptor;1,;13,77
511032X032;32x32mm Plasson Male adaptor;2,;17,91
511063X050;63X50mm Plasson male adaptor;1,;59,90
513050;50mm Plasson elbow;2,;76,09
513090;90mm Plasson elbow;2,;222,03
514050;50mm Plasson tee;1,;97,10
521032;32mm Plasson Stop;4,;18,99
521075;75mm Plasson stop;1,;151,83
601.252.00.5;Geberit Mepla bend adpter 90' 16mm;8,;72,48
601.289.00.5;15 WPE - 16mm Inlet;10,;87,40
601.508.00.5;Geberit Mepla plain end 16x15mm;11,;48,66
601.535.00.5;Geberit Mepla adapter with male thread 16mm x 1/2';3,;51,85
602.257.00.5;Geberit Mepla bend 90' 20mm x 3/4;5,;97,65
602.293.00.5;"Geberit Mepla elbow tap connector 90 20mm 1/2""";4,;98,96
602.509.00.5;Geberit Mepla adapater with plain end 20mm;6,;57,07
602.536.00.5;"Mepla adapter with Male thread 20mmx3/4""";6,;59,82
602.556.00.5;"Geberit Mepla adapter w F thread, dia. 20mm x 3/4""";12,;57,44
602.910.00.5;Mepla O ring set 20mm;7,;9,72
603.508.00.5;Mepla Mapress Adapter 26x22;3,;76,25
603.536.00.5;"Geberit Mepla Adapter Male 26mm * 3/4""";14,;74,48
603.537.00.5;"Geberit Mepla adapter w M thread, dia. 26mm x 1""";1,;75,60
603.556.00.5;"Geberit Mepla adapter w F thread, dia. 26mm x 3/4""";8,;82,85
604.537.00.5;"Mepla adapter 32mm x 1""";3,;112,05
604.538.00.5;Mepla male adapter 32X1 1/4;1,;95,80
611.061.00.1;Mepla Surface mounted stop valve 16mm;2,;187,92
612.061.00.1;Ball valve with lever 20mm;2,;188,82
614.061.00.1;Mepla Surface Mounted Lever Valve 32mm;1,;232,26
621.000.00.5;Mepla plug 16mm;10,;19,35
621.271.00.5;Gerberit Mepla elbow 90' 16mm;11,;28,26
